GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
invoice-spring-mvc-example,pl.bykowski.invoicespringmvcexample,InvoiceSpringMvcExampleApplication,5,3,0,0,2,1,1,1,1,1
invoice-spring-mvc-example,pl.bykowski.invoicespringmvcexample,InvoiceController,23,6,0,0,7,3,3,1,3,1
invoice-spring-mvc-example,pl.bykowski.invoicespringmvcexample,Invoice,0,31,0,0,0,13,0,9,0,9
invoice-spring-mvc-example,pl.bykowski.invoicespringmvcexample,InvoiceServiceImpl,0,109,0,0,0,24,0,7,0,7
