id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
40,itsecurityco_CVE-2022-22965,3,3,159,159,19,19,55,55,71,71,14,14,maven,true,open source,715,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
41,ivanjakimovski_spring-boot-pdf-generator,2,2,134,134,15,15,54,54,55,55,10,10,maven,true,open source,675,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
42,iwamih31_AccountBook,9,8,224,220,32,32,87,84,93,92,12,12,maven,true,open source,1796,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
43,janlely_jparser,1,0,1,0,0,0,1,0,0,0,0,0,maven,true,open source,87,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
44,jeonjeunghoon_Kculter,11,10,500,284,27,22,135,103,248,133,90,26,maven,true,open source,864,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,1,1,0,0
45,jonashackt_spring-boot-buildpack,2,2,98,98,13,13,44,44,40,40,1,1,maven,true,open source,479,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
46,jsalonl_interceptor-springboot,4,4,157,153,19,19,65,64,65,63,8,7,maven,true,open source,680,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
47,juliengalet_reactor-flow,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,110,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
49,Katibat_java-filmorate,6,4,168,163,23,23,64,63,74,71,7,6,maven,true,open source,1032,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,0,0,0
50,kiberohrannik_webflux-log,4,3,204,118,24,16,86,43,85,55,9,4,maven,true,open source,733,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
