id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
31,code-it-team_gotcha-be,14,9,504,243,34,17,165,78,232,113,73,35,maven,true,open source,1401,2fd964881a3012ecb99fa58b0406d3fddff17811,improvement,11,6,2,0,0,0
32,code-it-team_gotcha-be,14,9,504,243,34,17,165,78,232,113,73,35,maven,true,open source,1264,2fd964881a3012ecb99fa58b0406d3fddff17811,improvement,11,6,2,0,0,0
33,cxzero_CVE-2022-42889-text4shell,3,2,102,100,14,14,39,38,42,42,7,6,maven,true,open source,436,18e0da21f2d96af151aa116e2f7900f860074353,improvement,11,0,0,0,0,0
34,cxzero_CVE-2022-42889-text4shell,3,2,102,100,14,14,39,38,42,42,7,6,maven,true,open source,365,18e0da21f2d96af151aa116e2f7900f860074353,improvement,11,0,0,0,0,0
35,DevUpgrade-online_season-2,8,1,223,7,21,1,91,0,91,3,20,3,maven,true,open source,172,2b3776697d382422a799da41b0abdfddb9dbd9e0,improvement,11,7,0,1,0,0
36,DevUpgrade-online_season-2,8,1,223,7,21,1,91,0,91,3,20,3,maven,true,open source,216,2b3776697d382422a799da41b0abdfddb9dbd9e0,improvement,11,7,0,1,0,0
37,dr-mod_tidy-flappy-bird,1,1,13,2,0,0,3,0,7,2,3,0,maven,true,open source,88,e3f99c6ddf6bd124c8859b719a5e797602cf59fe,improvement,11,0,1,0,0,0
38,dr-mod_tidy-flappy-bird,1,1,13,2,0,0,3,0,7,2,3,0,maven,true,open source,85,e3f99c6ddf6bd124c8859b719a5e797602cf59fe,improvement,11,0,1,0,0,0
39,eBay_digital-signature-verification-ebay-api,7,3,118,89,14,10,51,39,47,34,6,6,maven,true,open source,357,9f1cf48e78f59cf001425905455d7a39aca8b8ac,improvement,11,2,1,1,0,0
40,eBay_digital-signature-verification-ebay-api,7,3,118,89,14,10,51,39,47,34,6,6,maven,true,open source,289,9f1cf48e78f59cf001425905455d7a39aca8b8ac,improvement,11,2,1,1,0,0
