id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
1,abuijze_bike-rental-demo,9,8,343,178,36,20,143,71,152,76,12,11,maven,true,open source,1000,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,2,0,0,0
2,AgMonk_merge-gf-assets,3,3,78,71,12,12,33,31,31,27,2,1,maven,true,open source,730,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,1,0,0
4,alexandreaquiles_dibujo,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,81,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
5,alkemyTech_OT275-server,12,11,363,276,33,29,130,115,164,115,36,17,maven,true,open source,2074,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,0,0,0
6,amigoscode_springboot-twilio,3,3,252,191,14,13,64,57,137,99,37,22,maven,true,open source,801,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,0,0,0,0
7,anicetkeric_aws-cognito-spring-auth-server,4,4,175,167,19,19,72,70,73,67,11,11,maven,true,open source,947,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,1,0,0
8,artmcoder_Buysell,5,5,215,215,24,24,88,88,85,85,18,18,maven,true,open source,1171,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
9,ashrawan_apache-poi-chart-sample,4,3,74,55,9,9,31,23,32,22,2,1,maven,true,open source,632,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,3,0,0,0
10,awslabs_kinesis-kafka-connector,4,3,97,56,3,1,49,31,44,23,1,1,maven,false,open source,181,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,2,1,0,0
11,aws-samples_amazon-appflow-custom-jdbc-connector,4,1,66,19,2,1,33,10,30,8,1,0,maven,true,open source,165,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
12,aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,6,6,144,136,1,1,35,32,88,83,20,20,maven,true,open source,2097,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
13,basquiat78_interface-bbuljit,2,2,112,112,15,15,43,43,48,48,6,6,maven,true,open source,488,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
14,bulinha_residencia-serratec-music-manager-api,10,10,305,257,31,30,105,76,137,120,32,31,maven,true,open source,1261,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
15,bykowski_invoice-spring-mvc-example,4,4,170,170,20,20,60,60,72,72,18,18,maven,true,open source,951,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
16,code-it-team_gotcha-be,14,10,528,315,39,24,179,111,237,138,73,42,maven,true,open source,1749,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,1,0,0,0
17,cxzero_CVE-2022-42889-text4shell,3,2,111,109,15,15,44,43,45,45,7,6,maven,true,open source,505,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,0,0,0
18,DevUpgrade-online_season-2,8,4,240,90,24,9,100,38,96,34,20,9,maven,true,open source,899,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,1,0,0
19,dr-mod_tidy-flappy-bird,1,1,13,2,0,0,3,0,7,2,3,0,maven,true,open source,97,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
20,eBay_digital-signature-verification-ebay-api,7,4,127,98,15,10,56,44,50,38,6,6,maven,true,open source,424,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,1,0,0
21,eh3rrera_graphql-java-spring-boot-example,13,11,551,401,56,48,212,149,230,170,53,34,maven,true,open source,2314,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
22,ErgunAhmet_DataJpaYt,5,5,176,176,20,20,71,71,71,71,14,14,maven,true,open source,951,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
23,fatihhernn_spring-boot-ecommerce,4,4,178,178,19,19,75,75,73,73,11,11,maven,true,open source,867,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
24,FENGYU-008_ERP,7,7,224,101,30,19,87,32,92,37,15,13,maven,true,open source,685,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,1,0,0
25,fireinrain_javbus-telegram-bot,8,3,34,11,4,1,16,6,14,4,0,0,maven,true,open source,237,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,6,1,0,0
26,folksdev_movie-api,12,10,389,368,38,38,161,152,161,152,29,26,maven,true,open source,2160,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,3,0,0,0
27,francoiducat_springboot-minimal-graphql-client,4,4,247,247,24,24,103,103,105,105,15,15,maven,true,open source,1192,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
28,gabrieldim_CSV-Export-Spring-Boot,3,3,169,169,19,19,67,67,65,65,18,18,maven,true,open source,786,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
29,gabrieldim_Email-Sender-Spring-Boot,3,0,163,0,19,0,68,0,65,0,11,0,maven,true,open source,126,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,0,0,0,0
30,gabrieldim_PDF-Generator-Spring-Boot,2,2,132,132,15,15,53,53,54,54,10,10,maven,true,open source,645,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
31,gavinklfong_spring-investment-platform,6,5,351,199,36,27,157,91,147,79,11,2,maven,true,open source,816,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,2,0,0,0
32,GCS-ZHN_movie-on-server,3,3,114,114,15,15,44,44,49,49,6,6,maven,true,open source,587,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
33,GSMgeeth_medium-coffeeshop-sample,5,5,182,180,22,22,71,71,74,72,15,15,maven,true,open source,943,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
34,GuillaumeFalourd_java-training-api,7,7,249,249,28,28,106,106,99,99,16,16,maven,true,open source,1734,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
35,hamitmizrak_AllSpringBlogProject,14,13,490,440,41,41,167,148,214,188,68,63,maven,true,open source,2230,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,1,1,0,0
36,hamitmizrak_SpringMvcSpringDataSpringRest,11,11,366,354,39,39,135,133,156,149,36,33,maven,true,open source,2041,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
37,hannotify_eleven-crazy-java-things,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,77,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
38,hhimanshu_spring-boot-liquibase,5,5,174,174,20,20,72,72,69,69,13,13,maven,true,open source,1138,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
39,innoq_cookie-based-session-springboot-app,5,5,226,226,22,22,93,93,87,87,24,24,maven,true,open source,1327,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
40,itsecurityco_CVE-2022-22965,3,3,159,159,19,19,55,55,71,71,14,14,maven,true,open source,676,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
41,ivanjakimovski_spring-boot-pdf-generator,2,2,134,134,15,15,54,54,55,55,10,10,maven,true,open source,661,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
42,iwamih31_AccountBook,9,1,224,1,32,0,87,0,93,1,12,0,maven,true,open source,2219,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,7,1,0,0,0
43,janlely_jparser,1,0,1,0,0,0,1,0,0,0,0,0,maven,true,open source,92,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
44,jeonjeunghoon_Kculter,11,10,500,284,27,22,135,103,248,133,90,26,maven,true,open source,1037,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,1,1,0,0
45,jonashackt_spring-boot-buildpack,2,2,98,98,13,13,44,44,40,40,1,1,maven,true,open source,615,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
46,jsalonl_interceptor-springboot,4,4,157,153,19,19,65,64,65,63,8,7,maven,true,open source,792,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
47,juliengalet_reactor-flow,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,150,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
49,Katibat_java-filmorate,6,4,168,163,23,23,64,63,74,71,7,6,maven,true,open source,1148,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,0,0,0
50,kiberohrannik_webflux-log,4,3,204,118,24,16,86,43,85,55,9,4,maven,true,open source,762,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
51,kousen_questjpa,7,7,231,231,33,33,96,96,96,96,6,6,maven,true,open source,1312,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
