id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
187,sofieneBK_Hands-on-ci-cd-for-springboot-apps,3,3,139,139,14,14,58,58,57,57,10,10,maven,true,open source,706,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
188,sofieneBK_Hands-on-ci-cd-for-springboot-apps,3,3,139,139,14,14,58,58,57,57,10,10,maven,true,open source,634,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
189,souris-dev_samosac-jvm,2,0,2,0,0,0,0,0,1,0,1,0,maven,true,open source,332,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,4,0,0
190,souris-dev_samosac-jvm,2,0,2,0,0,0,0,0,1,0,1,0,maven,true,open source,312,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,4,0,0
191,strategyengine_fsedistributionservice,18,15,486,443,43,39,218,197,185,169,40,38,maven,true,open source,2077,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,0,0,0
192,strategyengine_fsedistributionservice,18,15,486,443,43,39,218,197,185,169,40,38,maven,true,open source,1815,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,0,0,0
193,supaldubey_blog-server,9,9,366,366,15,15,161,161,166,166,24,24,maven,true,open source,7229,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
194,supaldubey_blog-server,12,12,392,392,16,16,170,170,181,181,25,25,maven,true,open source,10781,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
195,syqu22_spring-boot-shop-sample,13,4,466,74,40,3,193,28,182,26,51,17,maven,true,open source,755,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,9,1,1,1,0
196,syqu22_spring-boot-shop-sample,13,4,466,74,40,3,193,28,182,26,51,17,maven,true,open source,675,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,9,1,1,1,0
