id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
79,raffoulRicardo_movimento-qa-2023,5,0,159,0,20,0,56,0,74,0,9,0,maven,true,open source,208,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
80,rahul26021999_QrCode-JavaSpringBoot,4,4,185,52,20,12,73,12,73,19,19,9,maven,true,open source,462,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
76,paneladev_agenda-service,12,10,340,173,35,29,138,68,136,64,31,12,maven,true,open source,1596,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,7,1,0,0,0
82,raviyasas_sample-room,7,0,235,0,25,0,95,0,98,0,17,0,maven,true,open source,220,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,6,1,0,0,0
81,RaisaRS_java-filmorate,6,3,158,106,23,15,63,42,67,44,5,5,maven,true,open source,807,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,2,0,0,0
86,sashinpivotal_spring-boot-tdd,5,0,209,0,21,0,89,0,85,0,14,0,maven,true,open source,201,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
83,reactive-learning-io_spring-boot-reactive-webclient,4,1,145,94,14,8,64,43,61,39,6,4,maven,true,open source,651,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,0,0,0,0
84,rmondejar_spring-boot-junit5-example,6,6,197,120,26,27,82,45,81,43,8,5,maven,true,open source,689,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,1,0,0,0
88,SelimHorri_elastic-boot,4,1,233,4,21,0,109,2,91,2,12,0,maven,true,open source,206,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
89,SelimHorri_embedded-mongo-playing-with-spring-boot,5,4,187,53,20,12,76,16,78,22,13,3,maven,true,open source,463,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
87,schauder_talk-beyond,5,2,101,60,13,8,44,28,39,22,5,2,maven,true,open source,767,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,0,0,0,0
93,sofieneBK_Hands-on-ci-cd-for-springboot-apps,3,3,143,143,15,15,60,60,58,58,10,10,maven,true,open source,801,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
92,smartup-tech_Time-Tracker,12,10,286,130,39,32,116,47,108,37,23,14,maven,true,open source,2125,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,8,0,0,0,0
98,SysObligatoriskOpgave22_BackendWebApp,7,6,219,201,23,23,81,78,99,87,16,13,maven,true,open source,1319,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,1,0,0
101,Victor-Borisov_java-filmorate,6,0,183,0,27,0,73,0,77,0,6,0,maven,true,open source,305,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,1,0,0,0
