id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
1,abuijze_bike-rental-demo,9,8,335,173,32,16,140,70,151,76,12,11,maven,true,open source,1299,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,0,0,0
6,akhunovaa_customer-service,7,7,175,175,10,10,73,73,92,92,0,0,maven,false,open source,3362,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
2,AgMonk_merge-gf-assets,3,3,76,69,10,10,33,31,31,27,2,1,maven,true,open source,813,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,1,0,0
1,alexandreaquiles_dibujo,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,111,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
2,amigoscode_springboot-twilio,3,3,250,189,12,11,64,57,137,99,37,22,maven,true,open source,933,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,0,0,0,0
1,anicetkeric_aws-cognito-spring-auth-server,4,4,172,164,16,16,72,70,73,67,11,11,maven,true,open source,1044,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,1,0,0
2,artmcoder_Buysell,5,5,211,211,20,20,88,88,85,85,18,18,maven,true,open source,1282,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
3,ashrawan_apache-poi-chart-sample,4,3,72,53,7,7,31,23,32,22,2,1,maven,true,open source,681,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,3,0,0,0
4,awslabs_kinesis-kafka-connector,4,3,97,56,3,1,49,31,44,23,1,1,maven,true,open source,199,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,2,1,0,0
5,aws-samples_amazon-appflow-custom-jdbc-connector,4,1,66,19,2,1,33,10,30,8,1,0,maven,true,open source,180,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
