id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
478,vikash-kumar01_demo-counter-app,2,1,86,1,10,0,33,0,40,1,3,0,maven,False,open source,107,d0502a806255de968d9e81eee495de2b6f25dad2,improvement,11.0,2,0,0,0,0
480,thibaultmeyer_cuid-java,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,109,b072fb61629f84631aa586fb05b6e92589c1a5aa,no improvement,11.0,0,0,0,0,0
477,nejckorasa_s3-stream-unzip,5,2,70,61,5,1,12,8,35,34,18,18,maven,False,open source,545,b305fe4bf8cdf6787279dcf3bec4a45212f88e2f,improvement,11.0,0,2,1,0,0
501,jaggerwang_spring-boot-in-practice,14,11,305,233,26,19,135,106,116,91,28,17,maven,False,open source,1267,00c033afea65837f3f5785dfc019281138387bb1,improvement,11.0,5,0,0,0,0
517,leosam1024_tvbox-mv,3,2,32,10,5,3,19,7,8,0,0,0,maven,False,open source,140,758ac48627644d3191f9992d30ae94a762afac80,improvement,11.0,2,1,0,0,0
521,lyubenblagoev_postfix-rest-server,10,8,267,259,20,20,90,84,118,116,39,39,maven,False,open source,1238,d40fba57277a2f3e0cce691a0b3c070496815c88,improvement,11.0,0,1,0,0,0
565,filip26_titanium-json-ld,1,0,24,0,5,0,10,0,9,0,0,0,maven,False,open source,125,183d798e50fa1957f7567f1622db9996bf03ce5f,improvement,11.0,1,0,0,0,0
580,rayokota_kafka-connect-jsonata,2,2,5,3,0,0,3,1,2,2,0,0,maven,False,open source,128,daae4cfd6ba891ffcd11480404f000316e432eec,improvement,11.0,0,1,1,0,0
595,TechPrimers_spring-boot-graphql-query-example,6,6,348,222,20,10,111,52,162,112,55,48,maven,False,open source,177,f7fc933d4d95107cbd1a5763c071223c160cc7ad,improvement,11.0,3,0,0,0,0
607,basarbk_spring-security-tutorials,7,0,220,0,18,0,92,0,89,0,21,0,maven,False,open source,151,6ca00aa43b210fad4811cfc2bd70ae57af2cd0fa,improvement,11.0,5,1,1,0,0
606,bulinha_residencia-serratec-music-manager-api,10,10,260,222,22,22,91,65,119,108,28,27,maven,False,open source,1068,6fc89deed9bbe874f1b87bb8909bc1df361fc151,improvement,11.0,5,0,0,0,0
614,ValentinaBuddha_java-filmorate,5,3,121,99,16,13,53,43,49,40,3,3,maven,False,open source,569,63a64ad2aaff5c2208b632a528bb197c8b09b400,improvement,11.0,1,1,0,0,0
617,professorisidro_isilive_listamercado_back,6,2,117,2,14,0,47,0,53,2,3,0,maven,False,open source,127,fd80095f1a1ea0d93917a984ace9f082b953f62e,improvement,11.0,4,1,1,0,0
618,meicanhong_dannydb,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,65,d680d121f8a2f4a2ff774c720f3ac901dd15b4b5,no improvement,11.0,0,0,1,0,0
620,gabrieldim_PDF-Generator-Spring-Boot,2,2,102,102,10,10,43,43,42,42,7,7,maven,False,open source,571,6155696414aa1f95e1c0e81a2452adb47036e42e,no improvement,11.0,0,0,0,0,0
636,JordiHOFC_Estudos-Desafio-PicPay-BackEnd,9,9,331,331,22,22,125,125,147,147,37,37,maven,False,open source,1260,7dd314695c2ad715dfa9566087b9bf09a1989931,no improvement,11.0,0,0,0,0,0
643,gabrieldim_Email-Sender-Spring-Boot,3,1,130,1,13,0,57,0,52,1,8,0,maven,False,open source,125,c838c67abd09b80ae1baed9cc02286701efcacc2,improvement,11.0,3,0,0,0,0
