id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata,Repo URL
924,raviyasas_springboot-gcs-demo,8,7,177,175,21,21,71,70,78,77,7,7,maven,False,open source,999,225606faa720f2b036d16d96316db62d9f8d0b67,improvement,11.0,0,0,0,0,0,https://github.com/raviyasas/springboot-gcs-demo
952,rodrigorahman_spring-boot-com-mysql,5,2,223,2,17,0,98,0,95,2,13,0,maven,False,open source,122,a87a6bddd29c2c247c2b2f450ee284c67fe52c3d,improvement,11.0,4,0,1,0,0,https://github.com/rodrigorahman/spring-boot-com-mysql
961,innoq_cookie-based-session-springboot-app,5,1,183,1,16,0,82,0,71,1,14,0,maven,False,open source,109,91cd6b4649467206c692e73d7bf3caecca5e5d58,improvement,11.0,5,0,0,0,0,https://github.com/innoq/cookie-based-session-springboot-app
963,lenve_generate_code,5,4,143,102,14,9,62,42,59,44,8,7,maven,False,open source,556,4e57072b23d98df7ff3dda4d147fdef50936dfa9,improvement,11.0,1,0,1,0,0,https://github.com/lenve/generate_code
966,kriscfoster_spring-boot-testing-pyramid,2,1,100,1,9,0,44,0,41,1,6,0,maven,False,open source,92,84ff13a5f20c2a3d2ceaaa6040a8a4c6707e0f3e,improvement,11.0,2,0,0,0,0,https://github.com/kriscfoster/spring-boot-testing-pyramid
1012,jreijn_demo-micrometer-prometheus-grafana,3,1,141,1,13,0,60,0,59,1,9,0,maven,False,open source,111,60f2b699c045971733d0aa2a38b62d1d5918d4bd,improvement,11.0,3,0,0,0,0,https://github.com/jreijn/demo-micrometer-prometheus-grafana
1023,jsantos-examples_flexpag-desafio-backend,5,1,112,1,14,0,46,0,49,1,3,0,maven,False,open source,122,a9d8f26a30420865ea7800044b139910753411ff,improvement,11.0,4,1,0,0,0,https://github.com/jsantos-examples/flexpag-desafio-backend
1027,MikeAScott_spring-todo-list,7,2,204,2,17,0,87,0,87,2,13,0,maven,False,open source,137,99aa8126424923901f3104bdc561b24a241f299f,improvement,11.0,6,0,1,0,0,https://github.com/MikeAScott/spring-todo-list
1056,ilxqx_spring-security-leaning-demo,8,5,222,176,23,18,93,74,93,74,13,10,maven,False,open source,676,d64f5e1b6fdaf08079342c7c928810691b9e9410,improvement,11.0,0,3,1,0,0,https://github.com/ilxqx/spring-security-leaning-demo
1061,amigoscode_springboot-twilio,3,2,221,159,10,9,52,46,125,85,34,19,maven,False,open source,727,2e57cac243d89513ad1670e996a7bf7cd61152f9,improvement,11.0,1,0,0,0,0,https://github.com/amigoscode/springboot-twilio
1070,rmondejar_spring-boot-junit5-example,6,6,151,80,17,18,66,31,63,29,5,2,maven,False,open source,433,5a8b41d252f128070046ed78da91b9626183391c,improvement,11.0,4,1,0,0,0,https://github.com/rmondejar/spring-boot-junit5-example
