project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details
puzpuzpuz_java-concurrency-samples,native+evosuite,99.28,100.0,0,109,2,218,0,81,success,maven_returncode=0
raffoulRicardo_movimento-qa-2023,native+evosuite,51.22,48.81,41,84,23,43,19,42,success,maven_returncode=0
rahul26021999_QrCode-JavaSpringBoot,native+evosuite,59.48,0,2,9,20,34,2,9,success,maven_returncode=0
raviyasas_sample-room,native+evosuite,25.11,0.0,51,64,28,62,28,41,success,maven_returncode=0
rmondejar_spring-boot-junit5-example,native+evosuite,70.81,38.71,71,197,7,124,15,135,success,maven_returncode=0
RTBHOUSE_kafka-workers,native+evosuite,66.06,54.73,352,858,604,2008,159,509,success,maven_returncode=0
s1ck_gdl,native+evosuite,90.34,77.78,100,790,148,1724,28,517,success,maven_returncode=0
sashinpivotal_spring-boot-tdd,native+evosuite,93.98,96.88,3,37,4,61,2,21,success,maven_returncode=0
sayan-d99_Spring-Security-JWT-Authentication,native+evosuite,7.47,0.0,36,41,80,89,29,34,success,maven_returncode=0
schauder_talk-beyond,native+evosuite,90.94,50.0,7,41,12,96,6,40,success,maven_returncode=0
SelimHorri_embedded-mongo-playing-with-spring-boot,native+evosuite,3.51,0.0,87,91,60,64,53,57,success,maven_returncode=0
SelimHorri_hr-management-system,native+evosuite,27.86,0.0,124,172,256,372,116,164,success,maven_returncode=0
simplyi_NewSpringAuthorizationServer,native+evosuite,81.71,0.0,4,18,9,54,3,17,success,maven_returncode=0
souris-dev_samosac-jvm,native+evosuite,29.69,16.01,1436,2266,3585,5055,602,1330,success,maven_returncode=0
strategyengine_fsedistributionservice,native+evosuite,5.96,2.64,2941,3104,2687,2918,1343,1475,success,maven_returncode=0
supaldubey_blog-server,native+evosuite,42.03,27.01,430,608,908,1489,373,538,success,maven_returncode=0
syqu22_spring-boot-shop-sample,native+evosuite,0.0,0.0,212,212,351,351,137,137,success,maven_returncode=0
szerhusenBC_jwt-spring-security-demo,native+evosuite,0.0,0.0,105,105,254,254,87,87,success,maven_returncode=0
tuomount_Open-Realms-of-Stars,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1
Victor-Borisov_java-filmorate,native+evosuite,5.78,0.41,373,389,297,332,251,267,success,maven_returncode=0
wdrammeh_utg-student-dashboard,native+evosuite,1.69,1.11,2524,2621,8763,8969,1395,1482,success,maven_returncode=0
WoMakersCode_bootcamp-java-starwars-restapi,native+evosuite,28.16,0.0,19,37,69,101,16,34,success,maven_returncode=0
Xpectuer_miniJuliaSonar,native+evosuite,36.4,22.07,1110,1628,2614,4094,315,661,success,maven_returncode=0
