project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details
digitalpetri_strict-machine,kex,,,,,,,,,no_jacoco_csv,"maven_returncode=1; tests_selected=172 | gins:maven-checkstyle-plugin].dependencies.dependency.scope' for org.junit.vintage:junit-vintage-engine:jar must be one of [compile, runtime, system] but is 'test'. @ line 330, column 12 [ERROR]     'build.plugins.plugin[org.apache.maven.plugins:maven-checkstyle-plugin].dependencies.dependency.scope' for org.evosuite:evosuite-standalone-runtime:jar must be one of [compile, runtime, system] but is 'test'. @ line 337, column 12 [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/ProjectBuildingException "
dr-mod_tidy-flappy-bird,kex,49.14,29.71,161,387,462,1008,41,247,success,maven_returncode=0; tests_selected=472
drasyl_netty-tun,kex,,,,,,,,,no_jacoco_csv,"maven_returncode=1; tests_selected=71 | ect.Method.invoke(Method.java:566) [ERROR] 	at org.codehaus.plexus.classworlds.launcher.Launcher.launchEnhanced(Launcher.java:282) [ERROR] 	at org.codehaus.plexus.classworlds.launcher.Launcher.launch(Launcher.java:225) [ERROR] 	at org.codehaus.plexus.classworlds.launcher.Launcher.mainWithExitCode(Launcher.java:406) [ERROR] 	at org.codehaus.plexus.classworlds.launcher.Launcher.main(Launcher.java:347) [ERROR]  [ERROR] -> [Help 1] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoExecutionException "
eBay_digital-signature-verification-ebay-api,kex,0.0,0.0,83,83,336,336,42,42,success,maven_returncode=0; tests_selected=22
eh3rrera_graphql-java-spring-boot-example,kex,39.77,29.41,63,114,84,139,35,80,success,maven_returncode=0; tests_selected=92
fatihhernn_spring-boot-ecommerce,kex,67.6,27.27,44,117,0,53,2,62,success,maven_returncode=0; tests_selected=114
FENGYU-008_ERP,kex,20.9,0.0,113,241,453,634,96,224,success,maven_returncode=0; tests_selected=252
fireinrain_javbus-telegram-bot,kex,17.82,7.53,622,864,2507,3110,233,464,success,maven_returncode=0; tests_selected=468
folksdev_movie-api,kex,,,,,,,,,no_jacoco_csv,"maven_returncode=1; tests_selected=405 | jetbrains.kotlin:kotlin-maven-plugin].dependencies.dependency.scope' for org.junit.vintage:junit-vintage-engine:jar must be one of [compile, runtime, system] but is 'test'. @ line 194, column 12 [ERROR]     'build.plugins.plugin[org.jetbrains.kotlin:kotlin-maven-plugin].dependencies.dependency.scope' for org.evosuite:evosuite-standalone-runtime:jar must be one of [compile, runtime, system] but is 'test'. @ line 201, column 12 [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/ProjectBuildingException "
francoiducat_springboot-minimal-graphql-client,kex,91.5,0,0,23,4,41,0,23,success,maven_returncode=0; tests_selected=42
