project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details
dr-mod_tidy-flappy-bird,kex+evosuite,73.36,58.33,98,387,243,1008,16,247,success,maven_returncode=0
drasyl_netty-tun,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 | ect.Method.invoke(Method.java:566) [ERROR] 	at org.codehaus.plexus.classworlds.launcher.Launcher.launchEnhanced(Launcher.java:282) [ERROR] 	at org.codehaus.plexus.classworlds.launcher.Launcher.launch(Launcher.java:225) [ERROR] 	at org.codehaus.plexus.classworlds.launcher.Launcher.mainWithExitCode(Launcher.java:406) [ERROR] 	at org.codehaus.plexus.classworlds.launcher.Launcher.main(Launcher.java:347) [ERROR]  [ERROR] -> [Help 1] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoExecutionException "
eBay_digital-signature-verification-ebay-api,kex+evosuite,0.0,0.0,83,83,336,336,42,42,success,maven_returncode=0
eh3rrera_graphql-java-spring-boot-example,kex+evosuite,67.33,76.47,34,114,52,139,23,80,success,maven_returncode=0
fatihhernn_spring-boot-ecommerce,kex+evosuite,91.43,82.73,13,117,0,53,2,62,success,maven_returncode=0
FENGYU-008_ERP,kex+evosuite,50.25,0.0,74,241,268,634,57,224,success,maven_returncode=0
fireinrain_javbus-telegram-bot,kex+evosuite,25.07,16.58,539,864,2320,3110,192,464,success,maven_returncode=0
folksdev_movie-api,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 | jetbrains.kotlin:kotlin-maven-plugin].dependencies.dependency.scope' for org.junit.vintage:junit-vintage-engine:jar must be one of [compile, runtime, system] but is 'test'. @ line 194, column 12 [ERROR]     'build.plugins.plugin[org.jetbrains.kotlin:kotlin-maven-plugin].dependencies.dependency.scope' for org.evosuite:evosuite-standalone-runtime:jar must be one of [compile, runtime, system] but is 'test'. @ line 201, column 12 [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/ProjectBuildingException "
francoiducat_springboot-minimal-graphql-client,kex+evosuite,91.5,0,0,23,4,41,0,23,success,maven_returncode=0
GCS-ZHN_movie-on-server,kex+evosuite,0.0,0.0,292,292,678,678,149,149,success,maven_returncode=0
gofabian_junit-fixture-extension,kex+evosuite,70.65,59.68,36,106,56,225,17,75,success,maven_returncode=0
GSMgeeth_medium-coffeeshop-sample,kex+evosuite,53.63,20.0,34,87,77,208,21,72,success,maven_returncode=0
GuillaumeFalourd_java-training-api,kex+evosuite,61.65,37.5,10,28,15,44,4,20,success,maven_returncode=0
hamitmizrak_SpringMvcSpringDataSpringRest,kex+evosuite,34.9,17.94,222,437,458,612,107,306,success,maven_returncode=0
hannotify_eleven-crazy-java-things,kex+evosuite,95.64,100.0,3,53,6,95,3,49,success,maven_returncode=0
hhimanshu_spring-boot-liquibase,kex+evosuite,84.44,0,2,17,2,31,2,17,success,maven_returncode=0
iainporter_spring-file-poller,kex+evosuite,93.24,0,2,23,0,55,2,23,success,maven_returncode=0
IBM_ibm-ix-aem-sonarqube-plugin,kex+evosuite,46.36,0.25,378,392,663,1075,175,189,success,maven_returncode=0
itsecurityco_CVE-2022-22965,kex+evosuite,70.97,0,2,10,7,25,2,10,success,maven_returncode=0
ivanjakimovski_spring-boot-pdf-generator,kex+evosuite,91.84,0,0,6,4,30,0,6,success,maven_returncode=0
iwamih31_AccountBook,kex+evosuite,70.38,44.64,190,554,580,1615,53,312,success,maven_returncode=0
jckleiner_notion-backup,kex+evosuite,38.69,24.71,95,173,262,405,21,88,success,maven_returncode=0
jeonjeunghoon_Kculter,kex+evosuite,38.4,8.48,143,441,650,1369,65,358,success,maven_returncode=0
juliengalet_reactor-flow,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 |  build could not read 1 project -> [Help 1] [ERROR]    [ERROR]   The project io.github.juliengalet:reactor-flow:1.2.1-SNAPSHOT (/app/pom.xml) has 1 error [ERROR]     Malformed POM /app/pom.xml: Unrecognised tag: 'executions' (position: START_TAG seen ...</version>\n    <executions>... @267:17)  @ /app/pom.xml, line 267, column 17 -> [Help 2] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/ProjectBuildingException [ERROR] [Help 2] http://cwiki.apache.org/confluence/display/MAVEN/ModelParseException "
Katibat_java-filmorate,kex+evosuite,46.95,33.73,149,330,219,425,55,204,success,maven_returncode=0
kousen_questjpa,kex+evosuite,91.58,75.0,16,145,11,216,7,115,success,maven_returncode=0
kriscfoster_spring-boot-testing-pyramid,kex+evosuite,100.0,0,0,6,0,9,0,6,success,maven_returncode=0
kymotz_mdkiller,kex+evosuite,95.55,90.98,18,216,12,356,0,81,success,maven_returncode=0
kyungseo_project-web-starter,kex+evosuite,47.78,50.11,1218,2759,2942,5602,721,1835,success,maven_returncode=0
Le36_chip36,kex+evosuite,83.99,70.15,90,380,184,889,12,162,success,maven_returncode=0
leanstacks_skeleton-ws-spring-boot,kex+evosuite,0.0,0.0,186,186,477,477,162,162,success,maven_returncode=0
liuhongdi_ratelimiter,kex+evosuite,0.0,0.0,54,54,134,134,50,50,success,maven_returncode=0
lyubenblagoev_postfix-rest-server,kex+evosuite,36.59,7.06,260,531,562,1106,179,446,success,maven_returncode=0
mariamihai_spring-security-amigoscode-tutorial,kex+evosuite,59.6,25.0,18,73,78,191,16,71,success,maven_returncode=0
markbdsouza_hateoas-with-pagination,kex+evosuite,24.15,0.0,22,36,36,56,20,34,success,maven_returncode=0
martinachov_hexagonal-architecture-ddd-springboot,kex+evosuite,68.9,0.0,14,79,25,65,13,78,success,maven_returncode=0
max-jang_korea-music-chart-api,kex+evosuite,0.0,0.0,203,203,312,312,115,115,success,maven_returncode=0
MikeAScott_spring-todo-list,kex+evosuite,0.0,0.0,35,35,76,76,34,34,success,maven_returncode=0
moacirrf_nb-java-decompiler,kex+evosuite,53.97,33.33,32,66,51,121,13,45,success,maven_returncode=0
mohaghighi_Covid19-Web-Application,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 | -------------------------------------- [ERROR] Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:3.0.0-M7:test (default-test) on project covid-19: Execution default-test of goal org.apache.maven.plugins:maven-surefire-plugin:3.0.0-M7:test failed: org.junit.platform.commons.JUnitException: TestEngine with ID 'junit-vintage' failed to discover tests: Failed to parse version of junit:junit: 4.13.2 -> [Help 1] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/PluginExecutionException "
Mozenn_spring-boot-hibernate-search,kex+evosuite,48.89,31.58,39,91,36,87,11,53,success,maven_returncode=0
Mozenn_spring-boot-keycloak,kex+evosuite,49.75,27.08,28,55,27,57,9,31,success,maven_returncode=0
nikoo28_java-solutions,kex+evosuite,0.0,0.0,2668,2668,6110,6110,933,933,success,maven_returncode=0
