project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
micw_tibber-pulse-reader,evosuite,73.154,52.355,129,372,350,866,33,190,success,maven_returncode=0,1727,1.727
MikeAScott_spring-todo-list,evosuite,0.0,0.0,35,35,76,76,34,34,success,maven_returncode=0,193,0.193
milpol_gorilla4j,evosuite,96.409,95.0,5,94,8,251,0,44,success,maven_returncode=0,501,0.501
mmarcosab_rabbitmq-example,evosuite,4.959,0.0,15,17,30,32,13,15,success,maven_returncode=0,113,0.113
mohaghighi_Covid19-Web-Application,evosuite,45.421,40.0,43,117,107,265,31,97,success,maven_returncode=0,610,0.61
Mozenn_spring-boot-hibernate-search,evosuite,8.914,7.895,83,91,74,87,48,53,success,maven_returncode=0,260,0.26
MrGraversen_minecraft-rcon,evosuite,83.576,69.725,57,433,177,1035,36,378,success,maven_returncode=0,2483,2.483
MSmirnov2407_Filmorate,evosuite,0.12,0.0,193,194,557,558,149,150,success,maven_returncode=0,1256,1.256
NO-ob_LoliSnatcher,evosuite,23.719,26.786,209,310,775,1087,67,130,success,maven_returncode=0,1770,1.77
olein_Java-AWS-RnD,evosuite,52.116,0.0,25,47,66,125,23,45,success,maven_returncode=0,276,0.276
OmarAlHaj24_OnDriver,evosuite,73.134,57.143,83,261,179,572,30,142,success,maven_returncode=0,1155,1.155
Online-Job-Portal-CG_Backend,evosuite,22.058,21.429,399,582,894,1237,344,512,success,maven_returncode=0,3678,3.678
ozifirebrand_printHia,evosuite,15.967,10.0,387,487,197,290,153,227,success,maven_returncode=0,724,0.724
paneladev_agenda-service,evosuite,46.978,49.038,106,260,155,257,78,208,success,maven_returncode=0,800,0.8
ProgrammerZamanNow_belajar-jenkins-pipeline,evosuite,69.929,89.516,90,246,107,224,80,184,success,maven_returncode=0,822,0.822
ProgrammerZamanNow_belajar-spring-dasar,evosuite,69.061,88.71,89,246,109,224,79,184,success,maven_returncode=0,822,0.822
raffoulRicardo_movimento-qa-2023,evosuite,51.22,48.81,41,84,23,43,19,42,success,maven_returncode=0,110,0.11
rahul26021999_QrCode-JavaSpringBoot,evosuite,28.758,0,5,9,25,34,5,9,success,maven_returncode=0,79,0.079
RaisaRS_java-filmorate,evosuite,17.783,12.5,104,165,312,406,83,141,success,maven_returncode=0,1144,1.144
raviyasas_sample-room,evosuite,23.077,0.0,53,64,32,62,30,41,success,maven_returncode=0,186,0.186
reactive-learning-io_spring-boot-reactive-webclient,evosuite,44.596,81.818,45,105,100,143,38,72,success,maven_returncode=0,342,0.342
rmondejar_spring-boot-junit5-example,evosuite,0.225,0.0,196,197,123,124,134,135,success,maven_returncode=0,402,0.402
saiGou-14H_FaceSystem,evosuite,0.0,0.0,1216,1216,1701,1701,647,647,success,maven_returncode=0,3815,3.815
sashinpivotal_spring-boot-tdd,evosuite,56.627,87.5,13,37,33,61,11,21,success,maven_returncode=0,154,0.154
schauder_talk-beyond,evosuite,64.653,0.0,15,41,33,96,14,40,success,maven_returncode=0,342,0.342
SelimHorri_elastic-boot,evosuite,10.891,0.0,39,46,19,27,25,32,success,maven_returncode=0,131,0.131
SelimHorri_embedded-mongo-playing-with-spring-boot,evosuite,1.757,0.0,89,91,62,64,55,57,success,maven_returncode=0,201,0.201
SelimHorri_hr-management-system,evosuite,5.573,0.0,154,172,347,372,146,164,success,maven_returncode=0,1168,1.168
simplyi_NewSpringAuthorizationServer,evosuite,1.714,0.0,17,18,53,54,16,17,success,maven_returncode=0,141,0.141
smartup-tech_Time-Tracker,evosuite,22.445,14.344,2655,3403,2069,2997,1362,1925,success,maven_returncode=0,7609,7.609
sofieneBK_Hands-on-ci-cd-for-springboot-apps,evosuite,64.078,50.0,3,9,10,26,1,7,success,maven_returncode=0,55,0.055
souris-dev_samosac-jvm,evosuite,32.446,18.552,1361,2266,3435,5055,554,1330,success,maven_returncode=0,2798,2.798
strategyengine_fsedistributionservice,evosuite,4.423,1.967,2967,3104,2739,2918,1367,1475,success,maven_returncode=0,6326,6.326
supaldubey_blog-server,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,3512,3.512
syqu22_spring-boot-shop-sample,evosuite,0.0,0.0,212,212,351,351,137,137,success,maven_returncode=0,935,0.935
SysObligatoriskOpgave22_BackendWebApp,evosuite,67.382,8.0,78,113,51,135,55,88,success,maven_returncode=0,387,0.387
szerhusenBC_jwt-spring-security-demo,evosuite,0.0,0.0,105,105,254,254,87,87,success,maven_returncode=0,685,0.685
ValentinaBuddha_java-filmorate,evosuite,9.272,0.0,104,126,217,248,88,110,success,maven_returncode=0,849,0.849
Victor-Borisov_java-filmorate,evosuite,5.52,0.0,374,389,301,332,252,267,success,maven_returncode=0,1008,1.008
wdrammeh_utg-student-dashboard,evosuite,4.007,2.967,2440,2621,8543,8969,1330,1482,success,maven_returncode=0,13380,13.38
WoMakersCode_bootcamp-java-starwars-restapi,evosuite,31.842,0.0,19,37,63,101,16,34,success,maven_returncode=0,225,0.225
xxuzhengg_eastmoney,evosuite,13.055,0.0,73,83,225,244,57,67,success,maven_returncode=0,545,0.545
yoandypv_todo-api,evosuite,0.378,0.0,117,118,73,74,60,61,success,maven_returncode=0,225,0.225
Youngerjesus_refactoring-2nd-edition,evosuite,50.861,57.193,325,692,554,1161,258,543,success,maven_returncode=0,2628,2.628
