GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sample-room,com.app.sr,SampleRoomApplication,5,3,0,0,2,1,1,1,1,1
sample-room,com.app.sr.entity,Customer,232,3,46,0,5,1,37,1,14,1
sample-room,com.app.sr.util.model,ApiResponse,9,29,0,0,3,9,3,3,3,3
sample-room,com.app.sr.util.model,ResponseBuilder,71,12,0,0,13,3,7,2,7,2
sample-room,com.app.sr.util.model,ApiResponse.ApiResponseBuilder,10,37,0,0,4,11,2,3,2,3
sample-room,com.app.sr.service,CustomerService,0,21,0,0,0,6,0,2,0,2
sample-room,com.app.sr.controller,CustomerController,4,6,0,0,1,3,1,1,1,1
